Product	EMA	FDA	EN	Other	WHO	Year	Generic	DrugBank ID	ATC	ChEMBL	Indications	Targets	Last Update	
Amsacrine	N	N	N		N	1987	N	<a href="https://go.drugbank.com/drugs/DB00276">DB00276</a>	L01XX01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL43">CHEMBL43</a>	Leukemia, Acute; Refractory Leukemia	TOP2A; CYP2C9; TOP2B; CBX1; CYP3A4; EHMT2; ATXN2; CYP2C19; HSD17B10; MTOR; CYP2D6; ATAD5; BTF3P11; DRD1; CYP1A2	2024-07-24	
Anastrozole	N	Y	Y		Y	1995	Y	<a href="https://go.drugbank.com/drugs/DB01217">DB01217</a>	L02BG03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1399">CHEMBL1399</a>	Advanced Breast Cancer; Early Breast Cancer; Locally Advanced Breast Cancer (LABC); Metastatic Breast Cancer; Invasive, early Breast Cancer	ESR1; IGF2; PGR; CYP19A1; TUBB1; DLG2; MAP4K4; CLDN11; CSMD1; ERBB2; ZNF613; CYP1B1; CPD	2024-07-24	
Apalutamide	Y	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB11901">DB11901</a>	L02BB05	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3183409">CHEMBL3183409</a>	Nonmetastatic Prostate Cancer	AR; BEVI	2024-07-24	
Arsenic Trioxide	Y	Y	N		Y	2018	Y	<a href="https://go.drugbank.com/drugs/DB01169">DB01169</a>	L01XX27	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200978">CHEMBL1200978</a>	Refractory Acute Promyelocytic Leukemia	RARA; SMO; IL6; BIRC5; BDNF; CCND1; TXNRD1; FGFR1; MYCN; SERPINE1; IKBKB; HSPA4; PML; JUN; FLT3; MAPK3; EPO; TERT; FAS; GSTO1; CDKN1A; DNMT1; MT1A; MAPK10; TXNRD2; MAPK1	2024-07-25	
Asciminib	Y	Y	N		N	2021	N	<a href="https://go.drugbank.com/drugs/DB12597">DB12597</a>	L01EA06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4208229">CHEMBL4208229</a>	Philadelphia chromosome-positive chronic myeloid leukemia in chronic phase	ABL1; BCR	2024-07-24	
Asparaginase	Y	Y	N		Y	1994	N	<a href="https://go.drugbank.com/drugs/DB00023">DB00023</a>	L01XX02	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108989">CHEMBL2108989</a>	Acute Lymphoblastic Leukaemias (ALL)	ASNS; PYGL; MYBBP1A; PNPLA3; MTHFR; LPL; MIR4268; GATA3; ATF5; HLA-DRB1; GRIA1; MIR3117; TYMSOS; ETV6; CPA2; NFATC2; TYMS; SOD2	2024-07-24	
Atezolizumab	Y	Y	N		N	2016	N	<a href="https://go.drugbank.com/drugs/DB11595">DB11595</a>	L01FF05	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3707227">CHEMBL3707227</a>	Metastatic Non-Small Cell Lung Cancer; Small Cell Lung Cancer (SCLC); Triple Negative Breast Cancer (TNBC); Urothelial carcinoma ureter metastatic; Locally advanced Urothelial Carcinoma	CD274	2024-07-24	
Avapritinib	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB15233">DB15233</a>	L01EX18	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4204794">CHEMBL4204794</a>	Metastatic Gastrointestinal Stromal Tumor; Unresectable Gastrointestinal stromal tumor	KIT; PDGFRA; FLT3; DPT; CBL	2024-07-24	
Avelumab	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB11945">DB11945</a>	L01FF04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3833373">CHEMBL3833373</a>	Locally advanced disease has progressed during or following platinum-containing chemotherapy urothelial carcinoma (UC); Locally advanced disease has progressed within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy urothelial carcinoma (UC); Metastatic Merkel Cell Carcinoma (MCC); Metastatic disease has progressed during or following platinum-containing chemotherapy urothelial carcinoma (UC); Metastatic disease has progressed within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy urothelial carcinoma (UC)	CD274; PMS2; MSH2; MSH6; MLH1; STK11; ATM	2024-07-24	
Axicabtagene Ciloleucel	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB13915">DB13915</a>	L01XX70	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3989989">CHEMBL3989989</a>	Refractory Diffuse large B-cell lymphoma NOS; Refractory High grade B-cell lymphoma Burkitt-like lymphoma; Refractory Primary Mediastinal Large B-Cell Lymphoma; Relapsed Diffuse large B-cell lymphoma NOS; Relapsed High grade B-cell lymphoma Burkitt-like lymphoma; Relapsed Primary Mediastinal Large B-Cell Lymphoma	CD19	2024-02-07	
Axitinib	Y	Y	N		N	2012	N	<a href="https://go.drugbank.com/drugs/DB06626">DB06626</a>	L01EK01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1289926">CHEMBL1289926</a>	Advanced Thyroid cancer	KDR; ABCG2; YES1; FLT1; UGT1A9; UGT1A10; DRD2; PDGFRB; PDGFRA; TP53; VHL; ABL1; FABP5; KIT; CD274; PDGFB; HIF1A; UGT1A7; UGT1A8; BRAF; OR2B11; FLT4	2024-07-24	
Azacitidine	Y	Y	N		N	2004	Y	<a href="https://go.drugbank.com/drugs/DB00928">DB00928</a>	L01BC07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1489">CHEMBL1489</a>	Acute Myeloid Leukemia (AML); Chronic Myelomonocytic Leukemia	NRAS; DNMT1; TG; MTHFR; ALDH1A1; GMNN; NFE2L2; IDH1; SMAD3; XRCC1; KRAS; TAGLN; FLT3; ATAD5; AFP; GGT1; MYC; ABL1; CDA; MGMT; TP53; AR; IDH2; NR3C1; THPO; LIF; HTT; PLAU; PTPN11; DNMT3A; TYMS; CBL; HBB; GSTP1; CD247; RORC; TRIT1; GATA2; TET2; IL11	2024-07-25	
BCG Vaccine	Y	Y	N		Y		N	<a href="https://go.drugbank.com/drugs/DB12768">DB12768</a>	L03AX03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108905">CHEMBL2108905</a>	Non-Invasive Bladder Urothelial Carcinoma; Recurrent Superficial Bladder Cancer; Urothelial Carcinoma Recurrent; Carcinoma in situ of urinary bladder	KLK3; IL2; PIK3CB	2024-07-25	
Belantamab Mafodotin	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB15719">DB15719</a>	L01FX15	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4298209">CHEMBL4298209</a>	Relapsed Or Refractory Multiple Myeloma	ECE1; TUBB; TUBB4A; TUBA1B; TUBA3E; TUBA1C; TUBB2A; TNFRSF17; TUBB2B; TUBB8; TUBA3C; TUBB6; TUBB4B; TUBB3; TUBA4A; TUBA1A; TUBB1	2024-07-24	
Belinostat	N	Y	N		N	2014	N	<a href="https://go.drugbank.com/drugs/DB05015">DB05015</a>	L01XH04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL408513">CHEMBL408513</a>	Relapsed Peripheral T-Cell Lymphoma; Refractory Peripheral T-cell Lymphoma Unspecified	UGT1A1; HDAC3; HDAC9; HDAC6; HDAC5; HDAC10; HDAC1; FBXW7; HDAC7; GARS1; KMT2A; GAPDHP1; HDAC11; GART; MSTN; GAS1; GDF9; GAS2; GDF2; HDAC4; HDAC8; HDAC2	2024-07-24	
Belotecan	N	N	N	South Korea	N	2003		<a href="https://go.drugbank.com/drugs/DB12459">DB12459</a>	L01CE04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2111084">CHEMBL2111084</a>		TOP1	2024-02-07	
Belzutifan	N	Y	N		N	2023	N	<a href="https://go.drugbank.com/drugs/DB15463">DB15463</a>	L01XX74	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4585668">CHEMBL4585668</a>	Advanced Renal Cell Carcinoma	HMGB2	2024-07-24	
Bendamustine	N	Y	Y		Y	2008	Y	<a href="https://go.drugbank.com/drugs/DB06769">DB06769</a>	L01AA09	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL487253">CHEMBL487253</a>	Chronic Lymphocytic Leukaemia (CLL); Follicular Non-Hodgkin&#39;s Lymphoma Refractory; Refractory Hodgkin Lymphoma; Refractory Mantle Cell Lymphoma; Waldenstrom&#39;s Macroglobulinemia (WM); Recurrent multiple myeloma; Refractory indolent B cell non-hodgkin lymphoma	ATM; TP53; CD69	2024-07-24	
Bevacizumab	Y	Y	N		Y	2004	N	<a href="https://go.drugbank.com/drugs/DB00112">DB00112</a>	S01LA08; L01FG01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201583">CHEMBL1201583</a>	Cervical Cancer Metastatic; Metastatic Colorectal Cancer (MCRC); Metastatic Non-Squamous Non-Small Cell Lung Cancer; Metastatic Renal Cell Carcinoma; Persistent Cervical Cancer; Recurrent Cervical Cancer; Recurrent Glioblastoma; Stage III epithelial ovarian cancer following initial surgical resection; Stage IV epithelial ovarian cancer following initial surgical resection; Fallopian tube cancer following initial surgical resection; Locally advanced nonsquamous non-small cell lung cancer; Primary peritoneal cancer following initial surgical resection; Recurrent Non-Squamous Non-Small Cell Lung Cancer; Recurrent Platinum-Sensitive Epithelial Ovarian Cancer; Recurrent Platinum-resistant Epithelial Ovarian Cancer; Recurrent platinum drug resistant Fallopian tube cancer; Recurrent platinum drug resistant primary peritoneal cancer; Recurrent platinum sensitive primary peritoneal cancer; Recurrent platinum-sensitive fallopian tube cancer; Unresectable Non-Squamous Non-Small-Cell Lung Cancer	VHL; CCT3; BRAF; VEGFA; NF2; SLC19A1; SHMT1; HSP90AB1; NF1; GC; KRAS; MMP2; EDN1; ARID1A; MGAT4A; HOXC10; KIT; EGFR; CXCL8; TP53; RALBP1; VEGFB; FOXF1; CSPG4; VEGFC; ANXA11; F2R; EML4; CXCR4; GGH; CD274; PDGFRB; PRKCA; MMP9; ALK; CXCR2; HRAS; PIK3CA; THBS2; IDH1	2024-07-24	
Bexarotene	Y	Y	N		N	1999	Y	<a href="https://go.drugbank.com/drugs/DB00307">DB00307</a>	L01XF03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1023">CHEMBL1023</a>	Refractory peripheral cutaneous T-cell lymphoma	NR1I2; OPN1SW; RXRB; RXRG; USP1; HCN2; NR1H3; RXRA; MAPK8; KAT2A; BLM; CCND1	2024-07-24	
Bicalutamide	N	Y	Y		Y	1995	Y	<a href="https://go.drugbank.com/drugs/DB01128">DB01128</a>	L02BB03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL409">CHEMBL409</a>	Stage D2 Prostatic carcinoma	CYP2B6; CFLAR; AR; BAX; VDR; KLK3; CDH1; KMT2D; FST; BEVI	2024-07-25	
Binimetinib	Y	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB11967">DB11967</a>	L01EE03	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3187723">CHEMBL3187723</a>	Metastatic Melanoma; Unresectable Melanoma	BRAF; APC; MAP2K1; ATM; HRAS; NRAS; MAP2K7; UGT1A1; NF1; PTEN; PIK3CA; MAP2K3; KRAS; KIT; MAP2K4; NR2F6; JAK2; MAP2K2; MAP2K6; MAP2K5	2024-07-24	
Bleomycin	N	Y	Y		Y	1973	Y	<a href="https://go.drugbank.com/drugs/DB00290">DB00290</a>	L01DC01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL403664">CHEMBL403664</a>	Cervical Cancers; Head and Neck Carcinoma; Intracranial Germ Cell Tumors; Lymphoma, Hodgkins; Malignant Pleural Effusions; Non-Hodgkin&#39;s Lymphoma (NHL); Ovarian Cancer; Penile Cancer; Testicular Cancer; Vulvar Cancers; Early Kaposi&#39;s sarcoma	CCL17; IFNG; NFE2L2; SMAD2; WRN; LIG1; BLMH; F2R; MAPK8; ADK; GSTM1; PLAU; GJA1; CTLA4; BRCA1; AFP	2024-07-24	
Blinatumomab	Y	Y	N		N	2014	N	<a href="https://go.drugbank.com/drugs/DB09052">DB09052</a>	L01FX07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1742992">CHEMBL1742992</a>	Precursor B-Lymphoblastic Lymphoma/Leukaemia Refractory; Relapsed B cell precursor Acute lymphoblastic leukemia	CD3E; CD19; KMT2A; BCR; CD3D; ABL1; GLRA2; CD247; GMFB; CD3G	2024-07-24	
Bortezomib	Y	Y	N		Y	2003	Y	<a href="https://go.drugbank.com/drugs/DB00188">DB00188</a>	L01XG01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL325041">CHEMBL325041</a>	Mantle Cell Lymphoma (MCL); Multiple Myeloma (MM)	PSMB11; PSMB4; PSMB10; PSMC3; HSPB2; AR; BDNF; PSMC2; PSMA7; PSMD4; PSMD2; PSMD7; PSMA4; B2M; PSME2; PSMB1; PSMC5; PSMD12; PSMA6; PSMB5; PSMA2; HSPA4; PSMD1; PMAIP1; PIK3CA; PSMB2; PSME1; BCL2L2; PSMD9; PSMD14; PSMA5; PSMC1P1; PSMB6; PSMA1; ADRM1; PSME4; PSMC6; PSMD11; PLG; PSMD8; PSMB8; PSMB3; NFE2L2; PSMB9; PSMB7; F12; PSMC1; FGFR3; FLT3; PSMD6; PSMC4; NFKB1; E2F1; PRSS2; PSME2P2; CCND1; PSMD13; PSMF1; CAPN1; DDIT3; FRA6F; PSME3; F2; PSMD10P1; PSMA8; PSMD5; BCL2; PSMD4P1; PSMC3IP; PRSS3; PSMD10; TP53; PRB2; PSMD10P3; CTSB; PIK3CG; PSMA3; PIPSL; PSMD10P2; GATA2; CTSL; PRSS1; SEM1; PLAT; XIAP; PSMD3	2024-07-25	
Bosutinib	Y	Y	N		N	2010	N	<a href="https://go.drugbank.com/drugs/DB06616">DB06616</a>	L01EA04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL288441">CHEMBL288441</a>	Refractory, accelerated phase Chronic myelogenous leukemia; Refractory, blast phase Chronic myelogenous leukemia; Refractory, chronic phase Chronic myelogenous leukemia	EPS15; CAMK2G; FBLN2; SRC; CYP2C19; FAU; FGR; BRCA2; ABL1; STK10; BRAF; MS4A2; ENO1P1; STK4; FAUNA@; BCR; LYN; HCK; MEGF6; ENO2; FCGRT; ERVT1; FGF1	2024-07-24	
Brentuximab vedotin	Y	Y	N		N	2011	N	<a href="https://go.drugbank.com/drugs/DB08870">DB08870</a>	L01FX05	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1742994">CHEMBL1742994</a>	B-large cell anaplastic Lymphoma (Kiel Classification) refractory; Refractory Hodgkin Lymphoma; Post-autologous hematopoietic stem cell transplantation Hodgkin lymphoma	TNFRSF8; ALK; TUBA1C; TUBB4B; TUBB3; TUBA3C; TUBB2A; TUBA1A; TUBB8; TUBB2B; TUBA3E; TUBA4A; E4F1; TUBB; TUBA1B; TUBB4A; TUBB1; TUBB6	2024-07-24	
Brexucabtagene Autoleucel	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB15699">DB15699</a>	L01XL06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4594618">CHEMBL4594618</a>	Refractory Mantle Cell Lymphoma; Relapsed Mantle Cell Lymphoma	CD19	2024-02-07	
Brigatinib	Y	Y	N		N	2017	N	<a href="https://go.drugbank.com/drugs/DB12267">DB12267</a>	L01ED04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3545311">CHEMBL3545311</a>	Metastatic Non-Small Cell Lung Cancer	ALK; TP53; DXO; DPH1; EML4; DPEP1; FLT3; ROS1; HBEGF; EGFR; FGFR1	2024-07-24	
Buserelin	N	N	Y		N	2017	N	<a href="https://go.drugbank.com/drugs/DB06719">DB06719</a>	L02AE01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2110824">CHEMBL2110824</a>	Stage D2 Prostatic carcinoma	GNRHR; IGFBP1	2024-02-07	
Busulfan	Y	Y	N		N	1954	Y	<a href="https://go.drugbank.com/drugs/DB01008">DB01008</a>	L01AB01	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL820">CHEMBL820</a>	Essential Thrombocythemia (ET); Polycythemia Vera (PV); Chronic Chronic myelogenous leukemia	GSTA1; ADK; ABL1; CYP2C19; ABCC3; MTHFR; THPO; ITGAL; BCR; CYP1A2; GALC; GSTM1; CYP2B6; G6PD; CYP2D6; CYP3A4; GSTP1; CYP2C9; SHBG	2024-07-25	
Cabazitaxel	Y	Y	N		N	2010	N	<a href="https://go.drugbank.com/drugs/DB06772">DB06772</a>	L01CD04	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201748">CHEMBL1201748</a>	Refractory, metastatic hormone-refractory Prostate cancer	TUBA1A; TUBA1C; TUBB2B; TUBB2A; TUBB6; TUBB4B; TUBB; TUBB1; ABCB1; IGF2; TUBA1B; GCF1; TUBB3; TUBB4A; TUBA3E; TUBA4A; TUBB8; CYP3A4; TUB; CYP2C8; TUBA3C; CYP3A5	2024-07-24	
Cabozantinib	Y	Y	N		N	2012	N	<a href="https://go.drugbank.com/drugs/DB08875">DB08875</a>	L01EX07	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2105717">CHEMBL2105717</a>	Advanced Renal Cell Carcinoma; Hepatocellular Carcinoma; Metastatic Clear Cell Renal Cell Carcinoma; Progressive, metastatic Medullary thyroid cancer	MET; ROS1; KDR; NRAS; CTNNB1; PTK2B; PBRM1; CFLAR; HGF; KIT; PIK3CA; TP53; HRAS; FLT3; DRD4; DRD2; ABL1; YES1; VHL; GNA11; TEK; RET	2024-07-24	
Calaspargase Pegol	N	Y	N		N	2018	N	<a href="https://go.drugbank.com/drugs/DB14730">DB14730</a>		<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108728">CHEMBL2108728</a>	Acute Lymphoblastic Leukaemias (ALL)	ASRGL1	2024-02-07	
Capecitabine	Y	Y	N		Y	1998	Y	<a href="https://go.drugbank.com/drugs/DB01101">DB01101</a>	L01BC06	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1773">CHEMBL1773</a>	Duke&#39;s C Colon cancer; Esophageal Cancers; Hepatobiliary Cancers; Malignant Neoplasm of Stomach; Metastatic Breast Cancer; Metastatic Colorectal Carcinoma; Pancreatic Cancer Metastatic; Refractory Fallopian Tube Carcinoma; Metastatic pancreatic endocrine carcinoma; Refractory Ovarian cancer; Refractory peritoneal cancer; Refractory, metastatic Colorectal carcinoma	MSH2; REV3L; BRAF; SLC22A7; CYP1A1; UPB1; DPYD; PHC1; CD274; GCGR; CCDC77; VPS13D; AREG; TENM4; TMEM131L; CES1P1; ABCG2; TYMS; SLC19A1; CES1; ADGRG7; ZMIZ1; ATM; ANK3; ERBB2; CDX2; PTGS2; TP53; NCOA7; TYMSOS; CCDC70; SPRY2; UGT1A1; CD96; CYP19A1; SELE; LMNTD1; MGAT4A; MIR2054; FAT1; PTEN; MAN1A1; SIRPA; SSU72; DLG5; EXO1; MSH6; MLH1; PPARD; NSUN3; PIK3CA; KRAS; PMS2; SMAD7	2024-07-25	
Capivasertib	Y	Y	N		N	2023	N	<a href="https://go.drugbank.com/drugs/DB12218">DB12218</a>	L01EX27	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2325741">CHEMBL2325741</a>	Hormone Receptor-positive, HER2-negative, Locally Advanced or Metastatic Breast Cancer	CSTF3; FKBP2; AKT3; AKT2; TP53; ESR1; STK11; PTEN; ERBB2; ESR2; MTOR; CSTP1; PIK3CA; AKT1	2024-07-24	
Capmatinib	Y	Y	N		N	2020	N	<a href="https://go.drugbank.com/drugs/DB11791">DB11791</a>	L01EX17	<a href="https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3188267">CHEMBL3188267</a>	Metastatic Non-Small Cell Lung Cancer	DRD4; MET; PTEN	2024-07-24	
